257000152,장남2리,37.92389,128.017927,32310,강원도 홍천군
257000153,장남2리.거니고개,37.911705,128.050183,32310,강원도 홍천군
257000154,장남2리.거니고개,37.910329,128.046917,32310,강원도 홍천군
257000155,장남2리.장사랑마을,37.906717,128.044433,32310,강원도 홍천군
257000156,장남1리.남덕동,37.891909,128.034269,32310,강원도 홍천군
257000157,자은3리.외후동,37.885941,128.025096,32310,강원도 홍천군
257000158,도관리,37.815885,128.087292,32310,강원도 홍천군
257000159,도관리,37.815777,128.087319,32310,강원도 홍천군
257000160,철정3리.향교골입구,37.821329,128.002768,32310,강원도 홍천군
257000161,철정3리.향교골입구,37.821852,128.002972,32310,강원도 홍천군
257000162,역내리.가래뜰,37.828269,128.009194,32310,강원도 홍천군
257000163,역내리.가래뜰,37.828291,128.008887,32310,강원도 홍천군
257000164,자은1리.원동입구,37.879725,128.022983,32310,강원도 홍천군
257000165,천현1리.샘재,37.850647,128.016823,32310,강원도 홍천군
257000166,주음치리,37.788016,127.982074,32310,강원도 홍천군
257000167,성산2리,37.775777,127.972473,32310,강원도 홍천군
257000168,성산2리,37.775704,127.972576,32310,강원도 홍천군
257000169,성산리,37.772625,127.969326,32310,강원도 홍천군
257000170,성산리,37.772524,127.969398,32310,강원도 홍천군
257000171,검산보건진료소,37.704834,128.220116,32310,강원도 홍천군
257000172,태림아파트,37.69451,127.893833,32310,강원도 홍천군
257000173,진삼거리,37.692741,127.891856,32310,강원도 홍천군
257000174,송정,37.739246,127.940386,32310,강원도 홍천군
257000175,화촌면사무소,37.770734,127.96732,32310,강원도 홍천군
257000176,화촌초등학교,37.771093,127.967815,32310,강원도 홍천군
257000177,외삼포리,37.756311,127.981479,32310,강원도 홍천군
257000178,외삼포리,37.756214,127.98154,32310,강원도 홍천군
257000179,주음치리,37.787741,127.982717,32310,강원도 홍천군
257000180,자은3리,37.885535,128.025067,32310,강원도 홍천군
257000181,창촌초등학교,37.767535,128.387424,32310,강원도 홍천군
257000182,창촌초등학교,37.767617,128.387303,32310,강원도 홍천군
257000183,창촌리.양수교,37.75707,128.386003,32310,강원도 홍천군
257000184,창촌리.양수교,37.756974,128.385886,32310,강원도 홍천군
257000185,방내,37.822226,128.268438,32310,강원도 홍천군
257000186,석곡리.안실,37.812918,128.107718,32310,강원도 홍천군
257000187,석곡리.안실,37.812845,128.107718,32310,강원도 홍천군
257000188,서곡리,37.8101,128.122316,32310,강원도 홍천군
257000189,서곡리,37.810037,128.122315,32310,강원도 홍천군
257000190,생곡1리,37.6996,128.225731,32310,강원도 홍천군
257000191,내면시외버스터미널,37.774252,128.390485,32310,강원도 홍천군
257000193,방내,37.822205,128.268304,32310,강원도 홍천군
257000194,장남2리,37.9134,128.037668,32310,강원도 홍천군
257000195,장남2리,37.913349,128.037627,32310,강원도 홍천군
257000196,서석터미널,37.713245,128.185151,32310,강원도 홍천군
257000197,철정리,37.803624,127.98964,32310,강원도 홍천군
257000198,화촌초등학교,37.77116,127.967717,32310,강원도 홍천군
257000199,삼포교,37.757499,127.98513,32310,강원도 홍천군
257000200,삼포교,37.757394,127.985095,32310,강원도 홍천군
257000201,장평리,37.736533,128.102744,32310,강원도 홍천군
257000202,장평리,37.736629,128.102808,32310,강원도 홍천군
257000203,서석터미널,37.713197,128.185273,32310,강원도 홍천군
259000001,텍인로아,37.133966,128.613495,32330,강원도 영월군
259000002,천주교회,37.138878,128.837955,32330,강원도 영월군
259000003,덕구리2반,37.110463,128.779897,32330,강원도 영월군
259000004,덕구리2반,37.110424,128.779856,32330,강원도 영월군
259000005,덕구리3반,37.107051,128.784023,32330,강원도 영월군
259000006,덕구리3반,37.106973,128.783985,32330,강원도 영월군
259000007,덕구리3반,37.105502,128.787376,32330,강원도 영월군
259000320,사절골,37.16198,128.664723,32330,강원도 영월군
259000321,이목리,37.15975,128.667724,32330,강원도 영월군
259000322,이목리,37.154529,128.671794,32330,강원도 영월군
259000323,녹전초교,37.146091,128.680784,32330,강원도 영월군
259000324,응고개.행금벌,37.13843,128.690037,32330,강원도 영월군
259000325,시누리,37.144279,128.702244,32330,강원도 영월군
259000326,직동리,37.146879,128.710863,32330,강원도 영월군
259000327,직동,37.16925,128.726931,32330,강원도 영월군
259000328,직동2리,37.177217,128.740985,32330,강원도 영월군
259000329,솔고개,37.13728,128.719842,32330,강원도 영월군
259000330,송현동,37.133023,128.72755,32330,강원도 영월군
259000331,구름재,37.1264,128.732701,32330,강원도 영월군
259000332,가삼,37.121045,128.749308,32330,강원도 영월군
259000333,원천,37.118761,128.7621,32330,강원도 영월군
259000334,태복암,37.117678,128.768514,32330,강원도 영월군
259000335,승량리,37.116867,128.775621,32330,강원도 영월군
259000336,내덕초등학교,37.117544,128.778121,32330,강원도 영월군
259000337,주채동,37.119586,128.783183,32330,강원도 영월군
259000338,아시내,37.128325,128.794586,32330,강원도 영월군
259000339,봉우재,37.131892,128.808277,32330,강원도 영월군
259000340,상동고교,37.125125,128.819556,32330,강원도 영월군
259000341,상동중고교,37.12495,128.82321,32330,강원도 영월군
259000342,하칠량이,37.125442,128.824649,32330,강원도 영월군
259000343,상동읍사무소,37.127136,128.827441,32330,강원도 영월군
259000344,상동삼거리,37.129621,128.831613,32330,강원도 영월군
259000345,아우라지,37.132311,128.834631,32330,강원도 영월군
259000346,교촌교앞,37.140402,128.838156,32330,강원도 영월군
259000347,구래초등학교,37.142262,128.838111,32330,강원도 영월군
259000348,꼴두바위,37.144279,128.840266,32330,강원도 영월군
259000349,고두암,37.145407,128.842462,32330,강원도 영월군
259000350,상동시외버스터미널,37.135458,128.835984,32330,강원도 영월군
259000351,하동수퍼,37.143609,128.679601,32330,강원도 영월군
259000352,외룡2리,37.134998,128.670437,32330,강원도 영월군
259000353,제비바위,37.127251,128.667338,32330,강원도 영월군
259000354,내리입구,37.114421,128.667666,32330,강원도 영월군
259000355,내리입구,37.114533,128.667585,32330,강원도 영월군
259000356,내리,37.108005,128.674374,32330,강원도 영월군
259000357,외룡,37.11506,128.662227,32330,강원도 영월군
259000358,양지직실,37.115775,128.660178,32330,강원도 영월군
259000359,용담마을,37.118179,128.653755,32330,강원도 영월군
259000360,숲거리,37.117061,128.645858,32330,강원도 영월군
259000361,외룡,37.115258,128.645629,32330,강원도 영월군
259000362,와석2리,37.120112,128.62375,32330,강원도 영월군
259000363,김삿갓휴게소,37.12179,128.61081,32330,강원도 영월군
259000364,든돌,37.114236,128.604493,32330,강원도 영월군
259000365,조선민화박물관,37.096376,128.605718,32330,강원도 영월군
259000366,아랫곡동골,37.098383,128.604222,32330,강원도 영월군
259000367,삿갓교,37.106404,128.603587,32330,강원도 영월군
259000368,주문교앞,37.123136,128.603086,32330,강원도 영월군
259000369,하동농장,37.12816,128.613244,32330,강원도 영월군
259000370,모운,37.138482,128.616014,32330,강원도 영월군
259000371,예밀,37.14754,128.601557,32330,강원도 영월군
259000372,삭도,37.149342,128.599272,32330,강원도 영월군
259000373,예밀2리,37.142114,128.591133,32330,강원도 영월군
259000374,와석,37.1237,128.599031,32330,강원도 영월군
259000375,예밀1리.예밀포도마을,37.130536,128.575625,32330,강원도 영월군
259000376,옥동중학교,37.128398,128.570061,32330,강원도 영월군
259000377,본부락,37.123756,128.567944,32330,강원도 영월군
259000378,옥동리,37.123025,128.566309,32330,강원도 영월군
259000379,대야리.덕내,37.124824,128.554417,32330,강원도 영월군
259000380,대야리,37.123789,128.547502,32330,강원도 영월군
259000381,대야리입구,37.120187,128.547437,32330,강원도 영월군
259000382,진별리,37.126862,128.53759,32330,강원도 영월군
259000383,고씨굴,37.130634,128.535289,32330,강원도 영월군
259000384,각동,37.116041,128.537258,32330,강원도 영월군
259000385,각동교회,37.113816,128.53171,32330,강원도 영월군
259000386,각동리,37.114353,128.527917,32330,강원도 영월군
259000387,베리골,37.141644,128.529346,32330,강원도 영월군
259000388,한전,37.171066,128.477908,32330,강원도 영월군
259000389,폐차장,37.17377,128.477566,32330,강원도 영월군
259000390,둥글바위,37.200896,128.507326,32330,강원도 영월군
259000391,섭새,37.233317,128.511537,32330,강원도 영월군
259000392,거운리어라연입구,37.236392,128.513098,32330,강원도 영월군
259000393,장화동,37.252887,128.504977,32330,강원도 영월군
259000394,문산2리,37.269333,128.513513,32330,강원도 영월군
259000395,팔괴2리,37.152379,128.492233,32330,강원도 영월군
259000396,카누캠핑장,37.148848,128.491439,32330,강원도 영월군
259000397,흥월교회,37.138271,128.46606,32330,강원도 영월군
259000398,장승개,37.135306,128.464707,32330,강원도 영월군
259000399,흥월1리,37.142147,128.46515,32330,강원도 영월군
259000400,흥월1리.뒷골,37.146915,128.459002,32330,강원도 영월군
259000401,큰팔괴,37.15739,128.467463,32330,강원도 영월군
259000402,큰팔괴,37.161075,128.469789,32330,강원도 영월군
259000403,작은팔괴,37.164574,128.465136,32330,강원도 영월군
259000404,전원주택,37.167428,128.459903,32330,강원도 영월군
259000405,팔괴1리,37.170346,128.45609,32330,강원도 영월군
259000406,주공3.4차아파트앞,37.178152,128.457842,32330,강원도 영월군
259000407,하송주공2단지,37.179555,128.460212,32330,강원도 영월군
259000408,덕포시장입구,37.180791,128.47678,32330,강원도 영월군
259000409,청령포주차장,37.178089,128.448166,32330,강원도 영월군
259000410,방절2리,37.179425,128.435898,32330,강원도 영월군
